Date,Open,High,Low,Close,Adj Close,Volume,Earnings
30/12/1994,967.8,977.68,967.8,971.21,971.21,,
03/01/1995,970.84,977.64,968.87,969.7,969.7,,
04/01/1995,969.51,969.51,956.13,957.81,957.81,,
05/01/1995,958.52,965.89,958.52,965.89,965.89,,
06/01/1995,966.37,966.51,955.43,955.43,955.43,15981000,
09/01/1995,954.78,954.78,934.95,937.05,937.05,9119000,
10/01/1995,936.59,936.59,919.12,923.38,923.38,14608000,
11/01/1995,925.33,929.58,925.33,925.5,925.5,15618000,
12/01/1995,925.47,925.47,915.24,915.24,915.24,13876000,
13/01/1995,913.66,913.66,898.01,898.5,898.5,15866000,
16/01/1995,901.58,918.44,901.58,910.75,910.75,23956060,
17/01/1995,914.03,928.25,914.03,926.76,926.76,20469000,
18/01/1995,926.25,926.25,918.74,918.74,918.74,26142190,
19/01/1995,916.61,916.61,901.23,901.72,901.72,31787000,
20/01/1995,899.15,899.15,883.61,885.13,885.13,23784000,
23/01/1995,883.96,883.96,850.1,850.1,850.1,21498000,
24/01/1995,849.59,850.5,836.93,840.87,840.87,19905000,
25/01/1995,841.47,874.32,841.47,870.75,870.75,24747000,
26/01/1995,876.71,888.58,875.14,877.36,877.36,31947000,
27/01/1995,878.88,883.29,873.5,883.29,883.29,34514000,
03/02/1995,893.86,933.02,893.86,927.26,927.26,37108000,
06/02/1995,931.91,971.96,931.42,971.96,971.96,33398000,
07/02/1995,972.33,985.19,964.29,975.58,975.58,31211000,
08/02/1995,968.72,968.72,959.29,964.75,964.75,25079000,
09/02/1995,961.96,978.04,961.87,971.03,971.03,39227000,
10/02/1995,975.49,982.26,975.49,980.38,980.38,66224000,
13/02/1995,984.02,992.75,980.42,980.42,980.42,62398000,
14/02/1995,981.19,982.48,964.14,972.99,972.99,42811000,
15/02/1995,970.43,979.73,961.57,979.28,979.28,80983000,
16/02/1995,983.88,1000.28,983.88,989.99,989.99,94861000,
17/02/1995,988.47,995.24,985.55,995.24,995.24,79273000,
20/02/1995,997.92,999.39,986.5,986.5,986.5,39412000,
21/02/1995,985.96,985.96,968.74,971.1,971.1,51707000,
22/02/1995,970.14,970.14,939.94,941.07,941.07,106288000,
23/02/1995,944.49,949.46,940.18,949.46,949.46,69844000,
24/02/1995,960.44,978.61,960.44,970.45,970.45,59598000,
27/02/1995,956.18,961.14,946.72,953.79,953.79,39454000,
28/02/1995,955.83,979.64,955.83,979.64,979.64,51947000,
06/03/1995,979.83,979.83,953.4,953.4,953.4,44033000,
07/03/1995,954.22,954.22,944.76,947.23,947.23,81745000,
08/03/1995,942.13,942.13,931.24,935.05,935.05,46755000,
09/03/1995,938.45,951.21,938.45,951.21,951.21,60543000,
10/03/1995,954.37,954.37,935.12,935.12,935.12,55140000,
13/03/1995,944.54,944.54,931.09,932.02,932.02,40613000,
14/03/1995,932.6,932.6,925.68,929.71,929.71,53130000,
15/03/1995,932.93,941.86,932.93,937.32,937.32,36925000,
16/03/1995,937.91,943.88,936.71,943.88,943.88,30454000,
17/03/1995,948.13,960.43,948.13,960.43,960.43,31575000,
20/03/1995,963.11,969.93,963.11,969.35,969.35,29712000,
21/03/1995,970.01,970.01,963.33,964.84,964.84,34974000,
22/03/1995,964.99,966.78,959.2,959.2,959.2,35437000,
23/03/1995,958.58,958.58,951,957.05,957.05,43193000,
24/03/1995,956.44,957.9,948.9,957.9,957.9,31159000,
27/03/1995,959.33,959.33,950.47,952.74,952.74,31188000,
28/03/1995,954.11,966.91,954.11,964.75,964.75,24969000,
29/03/1995,966.34,989.78,966.34,987.71,987.71,35025000,
30/03/1995,990.24,991.02,979.65,979.65,979.65,38674000,
31/03/1995,981.12,985.17,981.12,984.07,984.07,27117000,
03/04/1995,980.96,980.96,964.65,966.31,966.31,34713000,
04/04/1995,966.49,974.03,966.49,974.03,974.03,65135000,
05/04/1995,977.15,998.79,977.15,998.79,998.79,41328000,
06/04/1995,1002.24,1002.24,975.97,978.72,978.72,35369000,
07/04/1995,978.03,978.03,962.41,967.29,967.29,22547000,
10/04/1995,966.91,966.91,955.1,956.03,956.03,20857000,
11/04/1995,957.28,957.28,953.1,956.28,956.28,51657000,
12/04/1995,956.75,967.39,956.39,966.01,966.01,50219000,
13/04/1995,967.11,967.11,963.34,963.34,963.34,35385000,
14/04/1995,963.63,968.1,963.63,965.97,965.97,21764000,
17/04/1995,966.75,966.75,959.45,962.63,962.63,22247000,
18/04/1995,962.51,965.1,960.58,964.3,964.3,23123000,
19/04/1995,962.48,964.04,959.14,963.82,963.82,16534000,
20/04/1995,963.71,963.71,960.23,962.64,962.64,13408000,
21/04/1995,963.53,977.84,963.53,977.84,977.84,17311000,
24/04/1995,979.84,984.71,973.41,975.05,975.05,18940000,
26/04/1995,977.06,977.06,956.21,958.63,958.63,20576000,
27/04/1995,957.47,957.47,939.79,942.44,942.44,21240000,
28/04/1995,942.18,951.8,942.1,951.8,951.8,36268000,
02/05/1995,950.38,951.84,940.19,944.57,944.57,30427000,
03/05/1995,944.55,950.68,943,950.68,950.68,34718000,
04/05/1995,951.91,955.83,949.24,951.38,951.38,35750000,
05/05/1995,950.98,956.48,939.87,956.44,956.44,27566000,
08/05/1995,953.48,957.99,940.64,957.82,957.82,28049000,
09/05/1995,959.53,961.52,948.59,951.36,951.36,21836000,
11/05/1995,953.86,1001.03,953.86,1000.53,1000.53,35541000,
12/05/1995,1008.9,1023.32,1006.26,1013.94,1013.94,44318000,
16/05/1995,1017.8,1036.06,1017.58,1036.06,1036.06,39517000,
17/05/1995,1033.56,1034.16,1015.81,1016.82,1016.82,38797000,
18/05/1995,1015.71,1019.28,998.94,1019.28,1019.28,107040000,
19/05/1995,1009.74,1011.62,1004.39,1011.62,1011.62,94230000,
22/05/1995,1011.39,1011.39,1002.96,1009.46,1009.46,91091000,
23/05/1995,1012.26,1026.98,1012.26,1024.91,1024.91,55592000,
24/05/1995,1029.76,1040.04,1023.95,1026.75,1026.75,35455000,
25/05/1995,1025.74,1039.71,1024.02,1039.71,1039.71,34556000,
26/05/1995,1038.63,1049.69,1038.63,1047.57,1047.57,21351000,
29/05/1995,1047.22,1050.05,1043.4,1043.48,1043.48,48855000,
30/05/1995,1045.95,1050.37,1043.06,1050,1050,65650000,
01/06/1995,1058.13,1072.65,1058.13,1070.82,1070.82,55432000,
02/06/1995,1069.61,1078.08,1068.95,1078.08,1078.08,83489000,
05/06/1995,1076.74,1085.16,1074.93,1085.04,1085.04,35341000,
06/06/1995,1086.86,1091.25,1077.3,1080.52,1080.52,36053000,
07/06/1995,1079.51,1079.51,1054.36,1057.8,1057.8,75343000,
08/06/1995,1054.78,1061.19,1049.04,1061.19,1061.19,35594000,
09/06/1995,1062.18,1062.26,1051.86,1054.36,1054.36,41617000,
12/06/1995,1052.27,1052.27,1040.79,1042.68,1042.68,43821000,
13/06/1995,1042.56,1045.7,1032.72,1038.99,1038.99,27604000,
14/06/1995,1041.55,1049.97,1040.27,1049.97,1049.97,35653000,
15/06/1995,1050.61,1060.18,1050.61,1058.44,1058.44,34416000,
16/06/1995,1058.98,1066.16,1058.92,1064.59,1064.59,22389000,
19/06/1995,1061.77,1061.99,1050.94,1052.59,1052.59,25674000,
20/06/1995,1053.57,1057.79,1052.68,1055.11,1055.11,32404000,
21/06/1995,1055.58,1065.33,1055.58,1064.13,1064.13,40873000,
22/06/1995,1063.25,1065.87,1061.44,1063.9,1063.9,37458000,
23/06/1995,1064.03,1065.53,1060.34,1061.91,1061.91,13608000,
26/06/1995,1062.03,1062.03,1052.89,1055.28,1055.28,22557000,
27/06/1995,1053.59,1053.59,1041.26,1043.57,1043.57,29030000,
28/06/1995,1043.89,1043.89,1023.04,1024.62,1024.62,24097000,
29/06/1995,1026.69,1033.04,1024.91,1027.21,1027.21,27877980,
30/06/1995,1027.71,1031.11,1024.83,1026.62,1026.62,22399000,
03/07/1995,1025.85,1025.85,1015.19,1023.51,1023.51,27452000,
04/07/1995,1024.68,1034.64,1024.68,1033.53,1033.53,34975000,
05/07/1995,1036.02,1049.65,1036.02,1047.82,1047.82,27425000,
06/07/1995,1052.41,1052.78,1043.17,1045.35,1045.35,23836000,
07/07/1995,1049.71,1059.91,1049.52,1059.91,1059.91,19488000,
10/07/1995,1063.12,1069.64,1059.6,1063.98,1063.98,24940000,
11/07/1995,1060.82,1060.82,1051.02,1055.64,1055.64,30110000,
12/07/1995,1054.79,1066.46,1054.79,1066.46,1066.46,28370000,
13/07/1995,1067.67,1073.31,1067.67,1073.31,1073.31,51213000,
14/07/1995,1073.29,1075.68,1066.73,1074.17,1074.17,51763000,
17/07/1995,1074.05,1076.43,1071.74,1072.79,1072.79,47183000,
18/07/1995,1073.42,1076.78,1067.31,1070.92,1070.92,44214000,
19/07/1995,1067.27,1069.91,1058.9,1061.28,1061.28,40474000,
20/07/1995,1056.2,1062.87,1052.24,1062.09,1062.09,41861000,
21/07/1995,1061.93,1064.03,1054.96,1056.06,1056.06,39916000,
24/07/1995,1056.01,1056.01,1043.16,1045.42,1045.42,33277000,
25/07/1995,1046.17,1050.01,1045.97,1049.34,1049.34,34330000,
26/07/1995,1050.98,1054.84,1044.73,1044.73,1044.73,24768000,
27/07/1995,1047.38,1053.13,1047.32,1048.81,1048.81,28247000,
28/07/1995,1048.32,1052.87,1048.32,1050.67,1050.67,26101000,
31/07/1995,1053.11,1060.21,1050.91,1060.21,1060.21,25159000,
01/08/1995,1059.91,1059.91,1055.48,1058.94,1058.94,33668000,
02/08/1995,1059.61,1068.25,1059.17,1068.25,1068.25,33011000,
03/08/1995,1070.08,1077.8,1070.08,1072.83,1072.83,29111000,
04/08/1995,1071.6,1072.08,1068.13,1071.07,1071.07,26526000,
07/08/1995,1071,1071.77,1054.01,1056.57,1056.57,28332000,
08/08/1995,1057.15,1060.75,1054.57,1056.24,1056.24,44949000,
10/08/1995,1055.39,1059.49,1055.39,1057.2,1057.2,45583000,
11/08/1995,1057.46,1059.11,1053.81,1054.43,1054.43,35922000,
14/08/1995,1054.24,1054.24,1046.49,1048.25,1048.25,30179000,
15/08/1995,1049.57,1049.71,1034.26,1038.07,1038.07,29529000,
16/08/1995,1036.98,1036.98,1021.11,1028.3,1028.3,36364000,
17/08/1995,1026.92,1026.92,1018.78,1019.94,1019.94,32552000,
18/08/1995,1019.51,1028.56,1018.1,1028.33,1028.33,28607000,
21/08/1995,1027.64,1030.21,1021.74,1022.85,1022.85,33750000,
22/08/1995,1023.64,1029.9,1023.3,1029.9,1029.9,43548000,
23/08/1995,1029.67,1031.18,1027.34,1028.35,1028.35,32502000,
24/08/1995,1028.48,1034.29,1027.03,1029.6,1029.6,35027000,
25/08/1995,1029.16,1030.44,1026.56,1028.76,1028.76,18951000,
28/08/1995,1029.88,1030.98,1023.68,1026.93,1026.93,23650000,
29/08/1995,1024.11,1024.11,1018.42,1018.86,1018.86,19570000,
30/08/1995,1017.55,1022.46,1012.17,1015.07,1015.07,22636000,
01/09/1995,1014.96,1014.96,1003.76,1009.29,1009.29,19894000,
04/09/1995,1010.77,1010.77,998.41,998.41,998.41,18855000,
05/09/1995,997.99,997.99,986.91,987.34,987.34,19701000,
06/09/1995,988.03,996.85,987.38,992.15,992.15,27919000,
07/09/1995,992.64,992.64,982.21,983.88,983.88,41862000,
08/09/1995,984.38,988.54,981.67,982.85,982.85,48925000,
11/09/1995,982.77,989.91,980.82,989.15,989.15,42610000,
12/09/1995,990.16,990.99,983.71,986.66,986.66,39354000,
13/09/1995,989.82,1002.37,989.82,997.83,997.83,30404000,
14/09/1995,1001.06,1001.06,990.88,993.2,993.2,29580000,
15/09/1995,993.59,995.5,989.47,993.53,993.53,24220000,
18/09/1995,993.78,998.41,992.54,995.51,995.51,23957000,
19/09/1995,996.11,996.68,989.3,991.88,991.88,40670000,
20/09/1995,992.06,995.91,990.28,995.91,995.91,28066000,
21/09/1995,996.25,1005.79,996.25,1002.84,1002.84,28343000,
22/09/1995,1004.05,1017.25,1004.05,1017.25,1017.25,23997000,
25/09/1995,1016.3,1016.59,1011.93,1012.93,1012.93,25761000,
26/09/1995,1013.04,1013.04,1008.3,1011.67,1011.67,31421000,
27/09/1995,1011.81,1011.93,1005.14,1006.68,1006.68,33867000,
28/09/1995,1006.02,1006.13,989.94,992.16,992.16,46905000,
29/09/1995,992.16,1000.6,986.05,1000.6,1000.6,23738000,
