Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
29/2/1996,0.2041,0.0163,0.2041,,,,,,,0.0031
31/3/1996,0.1136,0.0956,0.1136,,,,,,,0.0031
30/4/1996,-0.0271,0.1181,-0.0271,,,,,,,0.0031
31/5/1996,0.0065,-0.1189,0.0065,-0.1024,-0.1049,-0.1024,,,,0.0031
30/6/1996,0.0139,0.0715,0.0139,0.0254,0.0150,0.0254,,,,0.0031
31/7/1996,0.0592,-0.0166,0.0592,-0.0503,-0.0476,-0.0503,,,,0.0031
31/8/1996,-0.0989,0.0780,-0.0989,0.0917,0.0926,0.0917,,,,0.0031
30/9/1996,-0.0312,0.0510,-0.0312,0.0827,0.0905,0.0827,,,,0.0031
31/10/1996,0.0261,-0.0057,0.0261,0.0085,0.0108,0.0085,,,,0.0031
30/11/1996,0.0083,-0.0444,0.0083,-0.0201,-0.0171,-0.0201,0.0059,0.0056,0.0059,0.0031
31/12/1996,-0.0090,-0.0495,-0.0090,-0.0363,-0.0347,-0.0363,-0.0221,-0.0230,-0.0221,0.0031
31/1/1997,0.0009,0.0292,0.0009,0.0521,0.0532,0.0521,0.0844,0.0880,0.0844,0.0031
28/2/1997,-0.0734,0.1242,-0.0734,0.1516,0.1559,0.1516,0.1697,0.1708,0.1697,0.0031
31/3/1997,-0.0429,-0.0200,-0.0429,-0.0442,-0.0418,-0.0442,-0.0446,-0.0461,-0.0446,0.0031
30/4/1997,-0.0151,-0.1594,-0.0151,-0.1617,-0.1574,-0.1617,-0.1531,-0.1514,-0.1531,0.0031
31/5/1997,-0.0134,-0.0500,-0.0134,-0.0200,-0.0199,-0.0200,-0.0233,-0.0212,-0.0233,0.0031
30/6/1997,0.0008,-0.0586,0.0008,-0.0619,-0.0577,-0.0619,-0.0578,-0.0554,-0.0578,0.0031
31/7/1997,-0.0004,-0.0333,-0.0004,-0.0504,-0.0480,-0.0504,-0.0442,-0.0417,-0.0442,0.0031
