Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
29/2/1996,-0.158043145,0.038491808,-0.158043145,,,,,,,0.003076543
31/3/1996,0.030531495,0.056505793,0.030531495,,,,,,,0.003076543
30/4/1996,0.109431401,-0.031761486,0.109431401,,,,,,,0.003076543
31/5/1996,-0.125897638,0.000711272,-0.125897638,-0.0239259,-0.023532589,-0.0239259,,,,0.003076543
30/6/1996,0.031126314,-0.033335564,0.031126314,0.043493324,0.06321036,0.043493324,,,,0.003076543
31/7/1996,-0.106319992,-0.022524338,-0.106319992,0.003499053,0.001996286,0.003499053,,,,0.003076543
31/8/1996,0.256514764,0.081181697,0.256514764,0.020850259,0.022106246,0.020850259,,,,0.003076543
30/9/1996,0.101436569,0.013093088,0.101436569,-0.039604614,-0.054339778,-0.039604614,,,,0.003076543
31/10/1996,0.07475799,0.10672816,0.07475799,0.044862609,0.049712728,0.044862609,,,,0.003076543
30/11/1996,-0.060594144,-0.003059204,-0.060594144,-0.038123248,-0.036195465,-0.038123248,-0.082286899,-0.077960689,-0.082286899,0.003076543
31/12/1996,0.003888382,0.048423646,0.003888382,0.00836968,0.017514957,0.00836968,-0.006412723,0.002794163,-0.006412723,0.003076543
31/1/1997,0.071877554,0.04264551,0.071877554,0.00281201,-0.00526784,0.00281201,-0.06652327,-0.05709437,-0.06652327,0.003076543
28/2/1997,0.153534301,-0.040441638,0.153534301,-0.079044689,-0.080092524,-0.079044689,-0.099386482,-0.102615066,-0.099386482,0.003076543
31/3/1997,-0.011447885,-0.034440879,-0.011447885,0.007194418,0.017676788,0.007194418,0.008586731,0.00842319,0.008586731,0.003076543
30/4/1997,-0.145571963,0.008848437,-0.145571963,0.012435825,0.002804932,0.012435825,-0.017499947,-0.016227022,-0.017499947,0.003076543
31/5/1997,0.050231171,0.078895955,0.050231171,0.030121941,0.022218738,0.030121941,0.063498384,0.058294274,0.063498384,0.003076543
30/6/1997,-0.021712677,0.020502059,-0.021712677,0.046007586,0.038794199,0.046007586,0.035091317,0.025245908,0.035091317,0.003076543
31/7/1997,-0.026437755,0.01075451,-0.026437755,0.036833213,0.040203658,0.036833213,0.029526689,0.030598674,0.029526689,0.003076543
31/8/1997,-0.199807639,0.046131361,-0.199807639,0.0924301,0.086250449,0.0924301,0.050005651,0.034311102,0.050005651,0.003076543
30/9/1997,0.154016368,-0.009760963,0.154016368,-0.03262555,-0.029414279,-0.03262555,-0.032399008,-0.022146709,-0.032399008,0.003076543
31/10/1997,-0.149691758,0.094278883,-0.149691758,0.116523681,0.100931668,0.116523681,0.091493724,0.080417353,0.091493724,0.003076543
30/11/1997,-0.367588696,-0.029832633,-0.367588696,0.089388474,0.074324249,0.089388474,0.107838241,0.098719465,0.107838241,0.003076543
31/12/1997,-0.140985555,0.062042802,-0.140985555,0.0526141,0.058777964,0.0526141,0.013582121,0.022589843,0.013582121,0.003076543
31/1/1998,-0.108801778,-0.135323792,-0.108801778,-0.169227631,-0.176965486,-0.169227631,-0.080947259,-0.078308252,-0.080947259,0.003076543
28/2/1998,0.279689133,-0.392822928,0.279689133,-0.503441815,-0.51401985,-0.503441815,-0.506069274,-0.474927065,-0.506069274,0.003076543
31/3/1998,-0.163494464,-0.039153607,-0.163494464,0.135818219,0.133589409,0.135818219,0.093226986,0.094834026,0.093226986,0.003076543
30/4/1998,-0.067081955,-0.105246207,-0.067081955,0.137827013,0.116452765,0.137827013,0.111066534,0.099405468,0.111066534,0.003076543
31/5/1998,-0.006864466,-0.026438308,-0.006864466,0.000994587,-0.003574317,0.000994587,0.000120799,0.015674508,0.000120799,0.003076543
30/6/1998,0.014395066,0.038693776,0.014395066,-0.015541907,-0.011910202,-0.015541907,0.009188772,0.00659583,0.009188772,0.003076543
31/7/1998,0.020137162,0.055472642,0.020137162,0.045781778,0.056990436,0.045781778,0.056066479,0.045928428,0.056066479,0.003076543
31/8/1998,-0.012048746,-0.006304125,-0.012048746,-0.003236922,0.003243366,-0.003236922,-0.033301392,-0.01204979,-0.033301392,0.003076543
30/9/1998,-0.192635181,-0.316094926,-0.192635181,-0.657065765,-0.621613921,-0.657065765,-0.627024978,-0.613950957,-0.627024978,0.003076543
31/10/1998,0.001230927,-0.001413296,0.001230927,-0.035942549,-0.046495879,-0.035942549,-0.036952216,-0.040210836,-0.036952216,0.003076543
