Date,3M Normal,3M Enhanced,3M ML,6M Normal,6M Enhanced,6M ML,12M Normal,12M Enhanced,12M ML,Average Risk-free rate return (converted to monthly)
29/2/1996,0.046,0.055,0.046,,,,,,,0.003076543
31/3/1996,0.144,0.152,0.144,,,,,,,0.003076543
30/4/1996,0.082,0.086,0.082,,,,,,,0.003076543
31/5/1996,-0.119,-0.118,-0.119,-0.126,-0.128,-0.126,,,,0.003076543
30/6/1996,0.045,0.038,0.045,0.069,0.078,0.069,,,,0.003076543
31/7/1996,-0.047,-0.039,-0.047,-0.047,-0.046,-0.047,,,,0.003076543
31/8/1996,0.158,0.159,0.158,0.113,0.115,0.113,,,,0.003076543
30/9/1996,0.070,0.064,0.070,0.043,0.036,0.043,,,,0.003076543
31/10/1996,0.101,0.101,0.101,0.053,0.060,0.053,,,,0.003076543
30/11/1996,-0.052,-0.047,-0.052,-0.058,-0.053,-0.058,-0.076,-0.072,-0.076,0.003076543
31/12/1996,-0.005,-0.001,-0.005,-0.028,-0.017,-0.028,-0.028,-0.020,-0.028,0.003076543
31/1/1997,0.073,0.072,0.073,0.055,0.048,0.055,0.018,0.031,0.018,0.003076543
28/2/1997,0.080,0.084,0.080,0.073,0.076,0.073,0.070,0.068,0.070,0.003076543
31/3/1997,-0.054,-0.054,-0.054,-0.037,-0.024,-0.037,-0.036,-0.038,-0.036,0.003076543
30/4/1997,-0.161,-0.151,-0.161,-0.149,-0.155,-0.149,-0.171,-0.168,-0.171,0.003076543
31/5/1997,0.037,0.029,0.037,0.010,0.002,0.010,0.040,0.037,0.040,0.003076543
30/6/1997,-0.021,-0.038,-0.021,-0.016,-0.019,-0.016,-0.023,-0.030,-0.023,0.003076543
31/7/1997,-0.027,-0.023,-0.027,-0.014,-0.008,-0.014,-0.015,-0.011,-0.015,0.003076543
31/8/1997,-0.291,-0.294,-0.291,-0.266,-0.270,-0.266,-0.288,-0.298,-0.288,0.003076543
30/9/1997,0.069,0.072,0.069,0.069,0.070,0.069,0.068,0.076,0.068,0.003076543
31/10/1997,-0.153,-0.164,-0.153,-0.150,-0.165,-0.150,-0.160,-0.177,-0.160,0.003076543
30/11/1997,-0.365,-0.369,-0.365,-0.315,-0.332,-0.315,-0.311,-0.318,-0.311,0.003076543
31/12/1997,-0.228,-0.200,-0.228,-0.207,-0.202,-0.207,-0.257,-0.240,-0.257,0.003076543
31/1/1998,-0.025,-0.021,-0.025,-0.052,-0.063,-0.052,0.032,0.025,0.032,0.003076543
28/2/1998,0.342,0.355,0.342,0.276,0.289,0.276,0.323,0.357,0.323,0.003076543
31/3/1998,-0.148,-0.145,-0.148,-0.038,-0.039,-0.038,-0.079,-0.075,-0.079,0.003076543
30/4/1998,-0.279,-0.274,-0.279,-0.200,-0.206,-0.200,-0.215,-0.231,-0.215,0.003076543
31/5/1998,-0.145,-0.151,-0.145,-0.163,-0.164,-0.163,-0.128,-0.118,-0.128,0.003076543
30/6/1998,-0.150,-0.154,-0.150,-0.178,-0.170,-0.178,-0.168,-0.171,-0.168,0.003076543
31/7/1998,-0.110,-0.106,-0.110,-0.127,-0.122,-0.127,-0.104,-0.110,-0.104,0.003076543
31/8/1998,-0.178,-0.174,-0.178,-0.191,-0.194,-0.191,-0.197,-0.181,-0.197,0.003076543
30/9/1998,0.283,0.301,0.283,0.137,0.150,0.137,0.140,0.149,0.140,0.003076543
31/10/1998,0.070,0.064,0.070,0.055,0.048,0.055,0.045,0.047,0.045,0.003076543
30/11/1998,0.371,0.401,0.371,0.478,0.467,0.478,0.369,0.362,0.369,0.003076543
31/12/1998,-0.062,-0.052,-0.062,-0.074,-0.064,-0.074,-0.044,-0.040,-0.044,0.003076543
31/1/1999,0.034,0.033,0.034,0.052,0.056,0.052,0.061,0.063,0.061,0.003076543
28/2/1999,-0.120,-0.123,-0.120,-0.130,-0.132,-0.130,-0.134,-0.133,-0.134,0.003076543
31/3/1999,-0.160,-0.163,-0.160,-0.193,-0.186,-0.193,-0.180,-0.182,-0.180,0.003076543
30/4/1999,0.315,0.322,0.315,0.417,0.428,0.417,0.433,0.428,0.433,0.003076543
31/5/1999,0.079,0.075,0.079,0.078,0.074,0.078,0.085,0.084,0.085,0.003076543
30/6/1999,0.310,0.310,0.310,0.344,0.355,0.344,0.262,0.273,0.262,0.003076543
31/7/1999,-0.017,-0.025,-0.017,-0.023,-0.028,-0.023,-0.007,-0.013,-0.007,0.003076543
31/8/1999,0.010,0.010,0.010,-0.004,0.000,-0.004,-0.004,-0.002,-0.004,0.003076543
30/9/1999,-0.149,-0.144,-0.149,-0.185,-0.181,-0.185,-0.162,-0.159,-0.162,0.003076543
31/10/1999,0.038,0.040,0.038,0.046,0.049,0.046,0.073,0.079,0.073,0.003076543
30/11/1999,-0.002,-0.005,-0.002,-0.037,-0.037,-0.037,-0.024,-0.023,-0.024,0.003076543
31/12/1999,0.107,0.105,0.107,0.129,0.124,0.129,0.101,0.101,0.101,0.003076543
31/1/2000,0.144,0.138,0.144,0.181,0.168,0.181,0.192,0.187,0.192,0.003076543
29/2/2000,0.334,0.326,0.334,0.243,0.243,0.243,0.168,0.167,0.168,0.003076543
31/3/2000,0.084,0.082,0.084,0.078,0.058,0.078,0.004,-0.005,0.004,0.003076543
30/4/2000,-0.181,-0.181,-0.181,-0.171,-0.173,-0.171,-0.158,-0.152,-0.158,0.003076543
31/5/2000,-0.042,-0.044,-0.042,-0.069,-0.066,-0.069,-0.066,-0.060,-0.066,0.003076543
30/6/2000,-0.125,-0.119,-0.125,-0.154,-0.146,-0.154,-0.145,-0.143,-0.145,0.003076543
31/7/2000,0.000,0.005,0.000,0.020,0.021,0.020,0.011,0.009,0.011,0.003076543
31/8/2000,-0.022,-0.021,-0.022,-0.023,-0.023,-0.023,-0.018,-0.020,-0.018,0.003076543
30/9/2000,-0.182,-0.180,-0.182,-0.143,-0.137,-0.143,-0.173,-0.165,-0.173,0.003076543
31/10/2000,-0.020,-0.015,-0.020,-0.026,-0.029,-0.026,-0.039,-0.038,-0.039,0.003076543
30/11/2000,-0.042,-0.042,-0.042,-0.044,-0.045,-0.044,-0.058,-0.050,-0.058,0.003076543
31/12/2000,-0.143,-0.140,-0.143,-0.111,-0.115,-0.111,-0.126,-0.118,-0.126,0.003076543
31/1/2001,0.034,0.037,0.034,0.018,0.017,0.018,0.030,0.035,0.030,0.003076543
28/2/2001,-0.032,-0.029,-0.032,-0.026,-0.029,-0.026,-0.034,-0.033,-0.034,0.003076543
